Cruise,Bottle Number,Sample Type,Depth [m],Sample Volume [m^3],Sample Time,Filter Diameter [mm],Filter Pore Size [um],Parameter Name,Parameter Value,Parameter Units,Laboratory,Researcher,Analysis Method,Comment Name,Comment Value
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,GCRAB_Carcinus_A450,0.055,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,CAL903_calanoida_A450,0.069,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,POD1951_podoplea_A450,0.123,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,SAB1182_sabellariidae_A450,0.483,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,CRAB903_brachyura_A450,0.078,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,OS1022_polychaeta_A450,0.140,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,SPI1181_spionidae_A450,0.068,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,B1006_barnacles_A650,0.055,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,M2B_mussels_A650,0.037,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,GCRAB_Carcinus_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL903_calanoida_A650,0.098,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL1939_calanoida_A650,4.000,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,POD1951_podoplea_A650,0.063,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SAB1182_sabellariidae_A650,0.099,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CRAB903_brachyura_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,OS1022_polychaeta_A650,0.124,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SPI1181_spionidae_A650,0.048,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,B1006_barnacles_A450,0.082,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,M2B_mussels_A450,0.057,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,GCRAB_Carcinus_A450,0.072,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL903_calanoida_A450,0.170,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,POD1951_podoplea_A450,0.098,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SAB1182_sabellariidae_A450,0.161,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CRAB903_brachyura_A450,0.064,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,OS1022_polychaeta_A450,0.214,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c09,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SPI1181_spionidae_A450,0.059,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,B1006_barnacles_A650,0.090,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,M2B_mussels_A650,0.055,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,GCRAB_Carcinus_A650,0.054,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,CAL903_calanoida_A650,0.101,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,CAL1939_calanoida_A650,3.036,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,POD1951_podoplea_A650,0.095,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,SAB1182_sabellariidae_A650,0.332,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,CRAB903_brachyura_A650,0.040,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,OS1022_polychaeta_A650,0.086,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,SPI1181_spionidae_A650,0.033,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,B1006_barnacles_A450,0.148,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,M2B_mussels_A450,0.078,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,GCRAB_Carcinus_A450,0.073,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,CAL903_calanoida_A450,0.169,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,POD1951_podoplea_A450,0.156,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,SAB1182_sabellariidae_A450,0.706,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,CRAB903_brachyura_A450,0.079,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,OS1022_polychaeta_A450,0.187,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c10,NetTow,vertical net tow,30,14.04,NaN,,200 µm,SPI1181_spionidae_A450,0.080,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,B1006_barnacles_A650,0.183,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,M2B_mussels_A650,0.048,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,GCRAB_Carcinus_A650,0.042,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CAL903_calanoida_A650,0.043,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CAL1939_calanoida_A650,2.043,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,POD1951_podoplea_A650,0.058,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,SAB1182_sabellariidae_A650,0.513,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CRAB903_brachyura_A650,0.044,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,OS1022_polychaeta_A650,0.050,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,SPI1181_spionidae_A650,0.047,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,B1006_barnacles_A450,0.359,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,M2B_mussels_A450,0.073,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,GCRAB_Carcinus_A450,0.062,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CAL903_calanoida_A450,0.067,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,POD1951_podoplea_A450,0.100,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,SAB1182_sabellariidae_A450,0.983,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CRAB903_brachyura_A450,0.063,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,OS1022_polychaeta_A450,0.071,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c11,NetTow,vertical net tow,10,6.64,NaN,,200 µm,SPI1181_spionidae_A450,0.058,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,B1006_barnacles_A650,0.082,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,M2B_mussels_A650,0.043,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,GCRAB_Carcinus_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,CAL903_calanoida_A650,0.074,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,CAL1939_calanoida_A650,4.000,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,POD1951_podoplea_A650,0.092,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,SAB1182_sabellariidae_A650,0.455,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,CRAB903_brachyura_A650,0.045,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,OS1022_polychaeta_A650,0.219,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,SPI1181_spionidae_A650,0.048,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,B1006_barnacles_A450,0.144,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,M2B_mussels_A450,0.062,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,GCRAB_Carcinus_A450,0.070,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,CAL903_calanoida_A450,0.130,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,POD1951_podoplea_A450,0.174,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,SAB1182_sabellariidae_A450,0.920,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,CRAB903_brachyura_A450,0.063,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,OS1022_polychaeta_A450,0.422,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c12,NetTow,vertical net tow,20,9.12,NaN,,200 µm,SPI1181_spionidae_A450,0.062,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,B1006_barnacles_A650,0.054,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,M2B_mussels_A650,0.047,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,GCRAB_Carcinus_A650,0.026,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL903_calanoida_A650,0.055,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL1939_calanoida_A650,2.310,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,POD1951_podoplea_A650,0.088,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SAB1182_sabellariidae_A650,0.266,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CRAB903_brachyura_A650,0.042,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,OS1022_polychaeta_A650,0.105,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SPI1181_spionidae_A650,0.041,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,B1006_barnacles_A450,0.062,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,M2B_mussels_A450,0.058,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,GCRAB_Carcinus_A450,0.044,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL903_calanoida_A450,0.111,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,POD1951_podoplea_A450,0.175,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SAB1182_sabellariidae_A450,0.543,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CRAB903_brachyura_A450,0.072,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,OS1022_polychaeta_A450,0.211,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c13,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SPI1181_spionidae_A450,0.069,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,B1006_barnacles_A650,0.078,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,M2B_mussels_A650,0.052,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,GCRAB_Carcinus_A650,0.044,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,CAL903_calanoida_A650,0.097,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,CAL1939_calanoida_A650,3.460,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,POD1951_podoplea_A650,0.227,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,SAB1182_sabellariidae_A650,0.562,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,CRAB903_brachyura_A650,0.049,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,OS1022_polychaeta_A650,0.133,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,SPI1181_spionidae_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,B1006_barnacles_A450,0.135,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,M2B_mussels_A450,0.080,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,GCRAB_Carcinus_A450,0.061,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,CAL903_calanoida_A450,0.172,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,POD1951_podoplea_A450,0.443,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,SAB1182_sabellariidae_A450,1.147,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,CRAB903_brachyura_A450,0.064,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,OS1022_polychaeta_A450,0.244,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c14,NetTow,vertical net tow,25,14.04,NaN,,200 µm,SPI1181_spionidae_A450,0.060,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,B1006_barnacles_A650,0.150,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,M2B_mussels_A650,0.035,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,GCRAB_Carcinus_A650,0.034,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CAL903_calanoida_A650,0.053,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CAL1939_calanoida_A650,1.472,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,POD1951_podoplea_A650,0.043,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,SAB1182_sabellariidae_A650,0.571,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CRAB903_brachyura_A650,0.037,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,OS1022_polychaeta_A650,0.040,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,SPI1181_spionidae_A650,0.027,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,B1006_barnacles_A450,0.294,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,M2B_mussels_A450,0.054,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,GCRAB_Carcinus_A450,0.053,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CAL903_calanoida_A450,0.090,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CAL1939_calanoida_A450,3.006,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,POD1951_podoplea_A450,0.071,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,SAB1182_sabellariidae_A450,1.173,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,CRAB903_brachyura_A450,0.050,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,OS1022_polychaeta_A450,0.065,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c15,NetTow,vertical net tow,10,6.64,NaN,,200 µm,SPI1181_spionidae_A450,0.044,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c16,NetTow,vertical net tow,20,9.12,NaN,,200 µm,B1006_barnacles_A650,0.070,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c16,NetTow,vertical net tow,20,9.12,NaN,,200 µm,M2B_mussels_A650,0.051,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c16,NetTow,vertical net tow,20,9.12,NaN,,200 µm,GCRAB_Carcinus_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c16,NetTow,vertical net tow,20,9.12,NaN,,200 µm,CAL903_calanoida_A650,0.049,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c16,NetTow,vertical net tow,20,9.12,NaN,,200 µm,CAL1939_calanoida_A650,1.632,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
